Brand, Category, Price

KVD Beauty, Liquid Lipstick, $23
KVD Beauty, Mini Liquid Lipstick, $13
KVD Beauty, Lip Liner, $22.50
KVD Beauty, Lipstick, $20
KVD Beauty, Mini Lipstick, $10

KVD Beauty, Eyeshadow Palette, $45
KVD Beauty, Eyeshadow Stick, $24
KVD Beauty, Metallic Eyeshadow, $24
KVD Beauty, Long and Defined Tubing Mascara, $25
KVD Beauty, Volumizing Mascara, $25

KVD Beauty, Ink Liner Liquid Eyeliner, $25
KVD Beauty, Pencil Eye Liner, $23
KVD Beauty, Pomade Eyeliner, $25
KVD Beauty, Tattoo Liquid Eyeliner, $25
KVD Beauty, Primer with Rice Water, $34

KVD Beauty, Blush, $29.50
KVD Beauty, Liquid Gel Blush, $29.50
KVD Beauty, Mini Blush, $13
KVD Beauty, Mini Liquid Gel Blush, $13
KVD Beauty, Highlighter, $29.50

KVD Beauty, Foundation, $42
KVD Beauty, Setting Powder, $35
KVD Beauty, Powder Face Contour Palette, $52.50
KVD Beauty, Mattifying Pressed Finishing Powder, $35
KVD Beauty, Coverage Concealer, $30
